text,label
"random text",invalid
"Where can I find Tokyo?",valid
"hello",invalid
"xyz123",invalid
"Tourist attractions in UX design?",valid
"Explain electric vehicles?",valid
"well",invalid
"Benefits of USA?",valid
"Guide to football?",valid
"a",invalid
"Benefits of world war 2?",valid
"ok",invalid
"Buy mental health",invalid
"test test test",invalid
"What is the weather in UX design?",valid
"Machine learning climate change?",valid
"blah blah",invalid
"no",invalid
"Message USA",invalid
"blah blah",invalid
"Play football",invalid
"Symptoms of blockchain?",valid
"Where can I find climate change?",valid
"Python sustainable living?",valid
"Remind me to climate change",invalid
"     ",invalid
"How to fix cryptocurrency?",valid
"Best way to learn diet plans?",valid
"test test test",invalid
"hello",invalid
"yo",invalid
"Book a flight to blockchain",invalid
"Turn off mental health",invalid
"   hi",invalid
"Explain cryptocurrency?",valid
"Find ChatGPT",invalid
"History of football?",valid
"Explain diet plans?",valid
"Where can I find world war 2?",valid
"Book a flight to budget travel",invalid
"Set alarm for electric vehicles",invalid
"History of stock market?",valid
"qwerty",invalid
"a",invalid
"no",invalid
"Top 10 diet plans?",valid
"How does cryptocurrency?",valid
"JavaScript world war 2?",valid
"Explain football?",valid
"nan",invalid
"Change mental health",invalid
"Where can I find football?",valid
"Machine learning astronomy?",valid
"Examples of astronomy?",valid
"How does cryptocurrency?",valid
"Examples of cryptocurrency?",valid
"How does diet plans?",valid
"Delete football",invalid
"Tourist attractions in world war 2?",valid
"Latest news about USA?",valid
"Locate budget travel",invalid
"How does mental health?",valid
"Send email to football",invalid
"Best way to learn COVID-19?",valid
"Symptoms of plant-based diet?",valid
"well",invalid
"Change astronomy",invalid
"......",invalid
"Best way to learn electric vehicles?",valid
"Turn off cryptocurrency",invalid
"Where can I find COVID-19?",valid
"Tips to improve astronomy?",valid
"JavaScript stock market?",valid
"Python budget travel?",valid
"lorem ipsum",invalid
"Best way to learn world war 2?",valid
"Send email to USA",invalid
"Mark as read astronomy",invalid
"qwerty",invalid
"How does world war 2?",valid
"Where can I find astronomy?",valid
"Buy football",invalid
"Latest news about plant-based diet?",valid
"Where can I find COVID-19?",valid
"Latest news about electric vehicles?",valid
"Examples of diet plans?",valid
"Where can I find stock market?",valid
"Buy sustainable living",invalid
"Schedule a meeting electric vehicles",invalid
"     ",invalid
"Benefits of climate change?",valid
"History of sustainable living?",valid
"nan",invalid
"Benefits of world war 2?",valid
"Remind me to USA",invalid
"Find blockchain",invalid
"How does UX design?",valid
"Tips to improve budget travel?",valid
"Set alarm for cryptocurrency",invalid
"xyz123",invalid
"!!!",invalid
"lorem ipsum",invalid
"ok",invalid
"Tourist attractions in astronomy?",valid
"Examples of Tokyo?",valid
"Examples of diet plans?",valid
"xyz123",invalid
"Top 10 cryptocurrency?",valid
"What is the weather in diet plans?",valid
"Best way to learn ChatGPT?",valid
"What is the weather in programming?",valid
"Remind me to Tokyo",invalid
"a",invalid
"Guide to plant-based diet?",valid
"Top 10 India?",valid
"Buy UX design",invalid
"Top 10 world war 2?",valid
"Python Tokyo?",valid
"Locate mental health",invalid
"Create calendar event Tokyo",invalid
"What is the weather in USA?",valid
"Recipes for cryptocurrency?",valid
"ok",invalid
"Best way to learn budget travel?",valid
"Tips to improve programming?",valid
"Benefits of mental health?",valid
"nan",invalid
"Mark as read COVID-19",invalid
"How does budget travel?",valid
"Book a flight to football",invalid
"Play climate change",invalid
"hello",invalid
"random text",invalid
"Tourist attractions in cryptocurrency?",valid
"Set alarm for astronomy",invalid
"Symptoms of UX design?",valid
"Tourist attractions in stock market?",valid
"Turn off cryptocurrency",invalid
"Guide to ChatGPT?",valid
"Guide to world war 2?",valid
"Examples of COVID-19?",valid
"Best way to learn COVID-19?",valid
"Machine learning ChatGPT?",valid
"Turn off climate change",invalid
"Tips to improve climate change?",valid
"Benefits of diet plans?",valid
"Benefits of diet plans?",valid
"well",invalid
"Tips to improve plant-based diet?",valid
"Machine learning COVID-19?",valid
"How to make electric vehicles?",valid
"Explain ChatGPT?",valid
"Locate ChatGPT",invalid
"hmmm",invalid
"Buy UX design",invalid
"Open COVID-19",invalid
"Where can I find climate change?",valid
"nan",invalid
"Change India",invalid
"Recipes for sustainable living?",valid
"Book a flight to football",invalid
"Mark as read electric vehicles",invalid
"Recipes for astronomy?",valid
"What is the weather in mental health?",valid
"Find ChatGPT",invalid
"lorem ipsum",invalid
"JavaScript diet plans?",valid
"......",invalid
"Latest news about USA?",valid
"a",invalid
"Tips to improve electric vehicles?",valid
"Open climate change",invalid
"Set alarm for electric vehicles",invalid
"Remind me to mental health",invalid
"Examples of world war 2?",valid
"Latest news about mental health?",valid
"nan",invalid
"Guide to India?",valid
"Tips to improve ChatGPT?",valid
"Python plant-based diet?",valid
"ok",invalid
"random text",invalid
"Change budget travel",invalid
"Latest news about Tokyo?",valid
"Buy diet plans",invalid
"How to fix astronomy?",valid
"Add mental health",invalid
"Symptoms of astronomy?",valid
"Machine learning stock market?",valid
"Symptoms of diet plans?",valid
"nan",invalid
"Latest news about astronomy?",valid
"JavaScript ChatGPT?",valid
"Best way to learn mental health?",valid
"Mark as read electric vehicles",invalid
"Guide to UX design?",valid
"Top 10 sustainable living?",valid
"Recipes for football?",valid
"Explain sustainable living?",valid
"Navigate to football",invalid
"lorem ipsum",invalid
"test test test",invalid
"asdfghjkl",invalid
"How does sustainable living?",valid
"Latest news about mental health?",valid
"Mark as read sustainable living",invalid
"asdfghjkl",invalid
